state,literacy,growthrate,gdp,Population 2011,gdp per capita
Mizoram,98,23.5,7259,1097206,0.006615895
Kerala,95,4.9,364048,33406061,0.010897663
Tripura,94,14.8,19208,3673917,0.005228207
Himachal Pradesh,91,12.9,72720,6864602,0.010593477
Meghalaya,91,27.9,19918,2966889,0.006713429
Goa,90,8.2,42367,1458545,0.029047441
Nagaland,90,-0.6,11839,1978502,0.00598382
Assam,89,17.1,143175,31205576,0.004588122
Maharashtra,89,16,1272967,112374333,0.011327916
Sikkim,89,12.9,11165,610577,0.018285982
Tamil Nadu,87,15.6,751485,72147030,0.010416021
Chandigarh,86,17.2,18768,1055450,0.017781989
Delhi,86,21.2,343767,16787941,0.02047702
Gujarat,86,19.3,615606,60439692,0.010185459
Karnataka,86,15.6,603778,61095297,0.009882561
Odisha,86,14,227872,41974218,0.005428856
Manipur,85,31.8,12915,2855794,0.004522385
West Bengal,85,13.8,5604.622642,91276115,6.14029E-05
Arunachal Pradesh,83,26,11063,1383727,0.007995074
Haryana,83,19.9,297539,25351462,0.011736562
Madhya Pradesh,83,20.3,315561,72626809,0.004344966
Punjab,83,13.9,266628,27743338,0.009610523
Jharkhand,82,22.4,150918,32988134,0.004574918
Andhra Pradesh,80,9,379402,49386799,0.007682255
Rajasthan,80,21.3,436465,68548437,0.006367249
Bihar,77,25.4,247144,104099452,0.002374114
Uttar Pradesh,75,20.2,724049,199812341,0.003623645
